,CX,CY,IMS_SWISSCOORDINATE_X,IMS_SWISSCOORDINATE_Y,GUILD,CNHA,BIOIDX,BIOIDX_TX,BIOIDX_TXG,iflor
0,486450,111650,486479,111648,22,48641116,4.0,4.227133587615686,4.227133587615686,0.2
1,486450,111850,486437,111860,22,48641118,4.0,4.206806730218687,4.206806730218687,0.2
2,486450,111950,486417,111993,22,48641119,4.0,4.206806730218687,4.206806730218687,0.2
3,486550,111450,486571,111422,22,48651114,4.0,4.227133587615686,4.227133587615686,0.2
4,486550,111550,486548,111572,22,48651115,4.0,4.227133587615686,4.227133587615686,0.2
5,486550,111650,486531,111608,22,48651116,4.0,4.227133587615686,4.227133587615686,0.2
6,486550,111750,486582,111788,22,48651117,10.0,10.413613460437375,10.413613460437375,1.2
20,488050,112050,488020,112030,22,48801120,4.0,4.227133587615686,4.227133587615686,0.2
21,488050,112150,488026,112144,22,48801121,4.0,4.227133587615686,4.227133587615686,0.2
22,488050,112250,488004,112295,22,48801122,9.0,9.620420190656061,9.620420190656061,0.6000000000000001
25,488150,112350,488153,112374,22,48811123,4.0,4.206806730218687,4.206806730218687,0.2
29,488550,112750,488559,112774,22,48851127,4.0,4.206806730218687,4.206806730218687,0.2
31,488550,116950,488554,116961,22,48851169,10.0,10.413613460437375,10.413613460437375,1.2
34,488650,116550,488693,116551,22,48861165,8.0,8.206806730218688,8.206806730218688,1.0
41,489050,112850,489048,112801,22,48901128,4.0,4.206806730218687,4.206806730218687,0.2
47,489450,115250,489428,115246,22,48941152,4.0,4.181242592603569,4.181242592603569,0.2
48,489650,115350,489691,115374,22,48961153,4.0,4.362485185207139,4.362485185207139,0.4
50,489750,115150,489735,115140,22,48971151,4.0,4.181242592603569,4.181242592603569,0.2
51,489750,116350,489745,116387,22,48971163,10.0,10.362485185207138,10.362485185207138,1.2
53,489850,111450,489826,111438,22,48981114,8.0,8.227133587615686,8.227133587615686,1.0
54,489850,116250,489839,116251,22,48981162,8.0,8.181242592603569,8.181242592603569,1.0
56,489950,116150,489923,116160,22,48991161,10.0,10.362485185207138,10.362485185207138,1.2
58,490050,115350,490088,115353,22,49001153,6.0,6.362485185207139,6.362485185207139,0.4
62,490250,111350,490265,111375,22,49021113,6.0,6.454267175231373,6.454267175231373,0.4
64,490250,114650,490205,114616,22,49021146,8.0,8.200273306556069,8.200273306556069,1.0
70,490450,111550,490415,111545,22,49041115,6.0,6.454267175231373,6.454267175231373,0.4
74,490450,114650,490478,114691,22,49041146,10.0,10.400546613112137,10.400546613112137,1.2
77,490450,116650,490453,116600,22,49041166,5.0,5.200273306556069,5.200273306556069,0.2
79,490550,111350,490529,111386,22,49051113,6.0,6.454267175231373,6.454267175231373,0.4
83,490550,111650,490565,111665,22,49051116,6.0,6.454267175231373,6.454267175231373,0.4
85,490550,114650,490529,114623,22,49051146,8.0,8.200273306556069,8.200273306556069,1.0
88,490650,114650,490662,114645,22,49061146,8.0,8.200273306556069,8.200273306556069,1.0
93,490750,114650,490724,114630,22,49071146,4.0,4.400546613112138,4.400546613112138,0.4
102,490950,116150,490926,116179,22,49091161,6.0,6.400546613112138,6.400546613112138,0.4
